                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85371,                 3.2925,                 1.3599,                0.39991,                0.22489,                0.33832,                0.26021,                0.80829,                 3.4014,                 1.3924,             0.00029854,             0.00029854,             0.00029854
                      2,                0.94204,                 2.5866,                 1.4575,                0.45543,                0.37329,                0.35229,                0.23438,                 1.1886,                 4.2052,                  1.878,             0.00059757,             0.00059757,             0.00059757
                      3,                0.99295,                  2.402,                  1.475,                0.45285,                0.44511,                0.43629,                0.25795,                  1.192,                 3.7798,                 1.8386,              0.0008926,              0.0008926,              0.0008926
                      4,                 1.0108,                  2.309,                  1.475,                0.48185,                0.48244,                0.47681,                0.30711,                 1.1809,                  3.108,                 1.8932,               0.000891,               0.000891,               0.000891
                      5,                 1.0644,                 2.2452,                 1.5225,                0.63245,                0.46885,                0.51916,                0.33539,                 1.1829,                  2.836,                 1.7308,               0.000885,               0.000885,               0.000885
                      6,                 1.0367,                   2.19,                  1.494,                 0.4464,                0.52385,                 0.4586,                0.24722,                 1.5161,                   3.07,                 2.2271,               0.000879,               0.000879,               0.000879
                      7,                 1.0055,                 2.0978,                 1.4761,                 0.4675,                0.59476,                0.52428,                0.35103,                 1.2197,                  2.677,                 1.8219,               0.000873,               0.000873,               0.000873
                      8,                 1.0172,                 1.9675,                 1.4553,                0.55588,                0.56745,                0.59862,                0.39095,                 1.0616,                 2.2296,                 1.6253,               0.000867,               0.000867,               0.000867
                      9,                0.98298,                 1.8697,                 1.4487,                0.56711,                0.48174,                0.50719,                 0.3251,                 1.2141,                 2.3352,                  1.831,               0.000861,               0.000861,               0.000861
                     10,                  0.961,                 1.7449,                 1.4039,                0.59496,                0.66072,                0.67806,                0.46982,                  1.099,                 1.8748,                 1.6374,             0.00085501,             0.00085501,             0.00085501
                     11,                0.96247,                  1.788,                 1.4275,                0.62219,                0.46118,                0.53343,                0.33332,                 1.2468,                 2.1219,                 1.7897,             0.00084901,             0.00084901,             0.00084901
                     12,                0.98639,                  1.711,                 1.4352,                0.68807,                0.45258,                0.57982,                0.38336,                 1.1482,                 2.2366,                 1.7348,             0.00084301,             0.00084301,             0.00084301
                     13,                0.93817,                 1.6653,                 1.4046,                0.75886,                0.56046,                 0.6944,                0.50757,                0.99915,                 1.7576,                 1.5484,             0.00083701,             0.00083701,             0.00083701
                     14,                0.93277,                 1.6318,                 1.4056,                0.58574,                0.71726,                0.70753,                0.49052,                 1.0132,                 1.6173,                 1.6152,             0.00083101,             0.00083101,             0.00083101
